############################################## Test 1 ##############################################

-----------Printing RowByCol-----------------
image[05][42] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[05][43] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[05][44] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[05][45] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[05][46] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[05][47] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[05][48] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[05][49] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[05][50] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[05][51] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[05][52] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[05][53] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[05][54] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[05][55] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[05][56] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[05][57] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[05][58] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[05][59] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[05][60] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[05][61] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[05][62] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[05][63] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[06][00] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[06][01] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[06][02] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[06][03] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[06][04] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[06][05] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[06][06] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[06][07] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[06][08] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[06][09] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[06][10] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
